album,artist,author,author_position,coverart,date,genre,link,record_label,review,review_abstract,score,year_release
Dead Combo,Dead Combo,by: Sam Ubl,,https://media.pitchfork.com/photos/5929bb9613d197565213b10c/1:1/w_160/089ebc96.jpg,2004-10-20 06:00:05,Rock,https://www.pitchfork.com/reviews/albums/2584-dead-combo/,Output,"Dead Combo's self-titled debut ain't a record for all times, but it's applicable for many and tailor-made for some. Its shrill, treble-heavy, splintering guitars and buzzsaw electronics constitute a rackety Wall of Sound noise that competently squats on land already settled by The Jesus & Mary Chain, My Bloody Valentine, and Spacemen 3 . But whereas bands such as Spacemen 3 used primarily acoustic instrumentation and often drifted into murkier, jammier territory, Dead Combo's music is stiff, shrill, and loud, with no rhythmic give and little dynamic ambiguity. The propulsive ""Tech Out"" and ""Come On Baby, Yeah"" have a twisted tension that comes from the band's motorik rhythms and use of drum machines and other electronic devices. Atop this unflinchingly precise foundation are fuzzed-out guitars-- brisk, trebly, and volcanically potent. On poppier numbers like ""Sunny"" and ""You Don't Look So Good"", there's even sterility to Dead Combo's attack that makes their brand of sonic brazenness easier to swallow than that of grubbier acts like The Icarus Line or Hot Snakes. Oddly, Dead Combo also features two live tracks: ""Splinters"" and a cover of David Bowie's ""Let's Dance"". It's an unusual move on a freshman outing, but the songs are among this collection's finest, capturing the band's monolithic (and reverb-abetted) stage presence. On ""Let's Dance"", a rounder, clearer vocal performance provides the album its most melodic moment, albeit amid another requisite blizzard of distortion. ""Splinters"" sees the band trying their hand at schlock-rock, and a frenzied audience greets song with approbation. Dead Combo's aesthetic may not be affable-- noisy, trebly, garage-y rock 'n' roll is often cliche-ridden-- but there's still an art to cranking it up to 11. Some bands stock munitions for years without managing to pack a wallop like this; this is a textbook example of how to do it right.","Trevor Jackson's Output label offers the debut record from this Manhattan (by way of Finland) duo that's well-versed in both Jesus & Mary Chain jangle and stiff, propulsive rhythms.
",7.5,
Biggest Bluest Hi-Fi,Camera Obscura,by: Marc Hogan,Senior Staff Writer,https://media.pitchfork.com/photos/5929a6f6ea9e61561daa54a8/1:1/w_160/67d15fe4.jpg,2004-10-20 06:00:04,Rock,https://www.pitchfork.com/reviews/albums/1749-biggest-bluest-hi-fi/,AndmoresoundAndmoresound,"A few years before Underachievers Please Try Harder whispered its greeting to bookish girls and the boys who write sestinas about them, there was another Camera Obscura record. In those days, the wispy Glaswegian septet numbered merely six, and local boy-with--arab-strap-made-good Stuart Murdoch produced an early single (""Eighties Fan"") and arranged strings for them but wasn't yet shooting their album covers. Upon its release, U.S. listeners could only find this fine indie pop outing while exchanging shy glances in particularly well-stocked imports aisle. Thankfully, Merge has finally dusted off the group's UK breakthrough for American release, and although the record is narrower in scope than its follow-up-- which hopscotches from Leonard Cohen to The Supremes-- it still sparkles. On their charmingly understated first date, Camera Obscura hew more closely to their contemporaries than their 1960s influences. Winsome, acoustic-driven songs such as ""Swimming Pool"" and ""The Sun on His Back"" fit comfortably alongside fellow bedsit pop acts like The Guild League, The Fairways, and of course, Belle & Sebastian. Tracyanne Campbell's stiff-lipped vocals even evoke those of The Softies' Rose Melberg, particularly on ""Let's Go Bowling"" (one of the reissue's two bonus tracks, along with ""Shine Like a New Pin""). Here, Camera Obscura play their teen-romance cards close to their hope chests; the line between earnestness and artfulness is indeed thin. Like B&S;'s best (there I go again!), the sprightly ""I Don't Do Crowds"" could be an anthem for Victorian Lit majors-- or an ironic pleasure for disaffected hipsters just finding ""I'm a Cuckoo"" via its Avalanches remix. But more likely, it's both. Campbell, who shares vocal duties with John Henderson, adds to those delicious double layers on opener ""Happy New Year"", offering this one-of-a-kind couplet: ""Did you know I could be a lot of fun?/ I'm aware that friendship can die young."" Elsewhere, ""Double Feature"" waxes precious about Catherine Deneuve and winter, and ""Houseboat"" takes an outsider's look at the fun lovin' found in Christine McVie-penned Fleetwood Mac. A dispute over Nancy Sinatra provides the chorus to ""Anti-Western"" (""I'm taking your boots off,"" Campbell retorts), and ""Pen and Notebook"" works in a winning Johnny Marr namedrop over halting piano, which is later joined by swirling orchestration that runs the risk of boring any chamber-pop Philistines still in the audience (their loss). ""Eighties Fan""-- the single that brought Camera Obscura to the notice of John Peel-- has a drum opening that could have played over the Lost in Translation credits. Because of its connection to Murdoch, it's the best-known of these early tracks but there are a half-dozen songs on Biggest Bluest Hi-Fi that are just as good. Very few of them, however, capture the band's songwriting strengths-- placing a modern lyrical twist on the 1960s arrangements of Bacharach, Webb, and Hazlewood-- as well as ""Eighties Fan"" does. Come to think of it, very few tracks on Underachievers do either.","With Underachievers Please Try Harder deservedly gaining attention, Merge reissues the debut LP Scottish indie popsters (and Stuart Murdoch proteges) Camera Obscura.
",7.5,
Eucademix,Yuka Honda,by: Johnny Loftus,,https://media.pitchfork.com/photos/5929c169c0084474cd0c332c/1:1/w_160/746b011f.gif,2004-10-20 06:00:03,Electronic,https://www.pitchfork.com/reviews/albums/3996-eucademix/,Tzadik,"It's been nearly 10 years since Cibo Matto dropped Viva! La Woman, but the recordings still prove the genius of two Japanese ex-pats rocking sample racks, Russell Simins, and a reefer truck full of prime cut New York weird. There's no question about it: I still know my chicken. The duo of Yuka Honda and Miho Hatori only released one other LP as Cibo Matto, though they've both stayed visible in Manhattan's downtown scene. Programmer and producer Honda has been particularly active recently, issuing a solo album through Tzadik in 2002 and teaming with Boredoms' Yoshimi P-We for Flower With No Color a year later. Her first solo record, Memories Are My Only Witness, sprinkled fractured make-out music between choppy electronic programming and a little of Honda's former band's uniquely kicky whimsy, while the Yoshimi meet-up-- though a dream collabo for some-- was gentle but somewhat meandering. Honda's second effort for Tzadik's Oracles series, Eucademix, is her strongest solo statement. The romanticism of both Memories Are My Only Witness and Cibo Matto's more introspective material is here-- particularly in the watery keys and daydream pace of the Air-ish ""Some Things Should Be Kept Unsaid"". But that track also has a midsection scored by the hot fuzz of an electric guitar, illustrating Honda's longstanding flair for odd assemblage. She's comfortable setting the distorted bass and screeching, layered solos of ""When the Monkey Kills"" next to ""Limoncello""'s detached hip-hop beats and keening violin sample, and supporting both with the contemplative, nearly new age piano piece ""Seed of Seed of Peach"". Opener ""Humming Song (Alone Together)"" is an opposite facet, weaving wordless female vocals into a pillowy, headache-induced lullaby. Like most Tzadik releases, Eucademix is experimental, but it never turns its back on the listener. It even rewards those who are still lying awake thinking about a Cibo Matto reunion (um...) with ""I Dream About You"", on which Honda's ex-partner Miho Hatori provides vocals. With its clopping, combat-boots-on-subway-steps beat, delicate guitar echoes, gender-specific chorus, and Hatori's whispery sultry vocals, the song would fit nicely on the second half of Viva! La Woman. ""The embrace of darkness makes me feel all right,"" Hatori playfully coos, ""when the beat takes over me..."" It would've been nice to hear a few more songs with Hatori, but the mostly instrumental Eucademix doesn't disappoint. From the plaintive acoustic guitars and shuffling beats of ""Parallel"" through ""Twirling Batons in My Head""'s tense, modified techno, Honda and her fellow instrumentalists (which include Marc Ribot and former Cibo Matto drummer Timo Ellis) never makes us crave more vocal guest shots. And, like most of Honda's work, this album has flashes of humor: ""Why Are You Lying to Your Therapist?"" asks the title of one spacey, wrong-speed guitar solo track, while ""Spooning With Jackknife"" is a perfect name for the closing cut's stuttering percussion triggers and disassembled blasts of feedback. Honda displays an impressive range of experimentation on Eucademix, but it's her talents as a programmer, player, and producer that really sells the album. Honda's music will roam stylistically, but it always hovers playfully above what most other producers are doing.","Formerly one-half of Cibo Matto, Yuka Honda releases her second album for John Zorn's Tzadik imprint, featuring her first collaboration with former bandmate Miho Hatori since 1999's Stereo Type A.
",7.5,
Just Another Diamond Day,Vashti Bunyan,by: Matthew Murphy,Contributor,https://media.pitchfork.com/photos/5929a46b5e6ef95969320885/1:1/w_160/225412aa.jpg,2004-10-20 06:00:02,Rock,https://www.pitchfork.com/reviews/albums/1135-just-another-diamond-day/,PhilipsPhilips,"One of the happiest by-products of the ongoing underground freak-folk explosion is the reemergence of British singer Vashti Bunyan. After spending more than three decades completely off the music industry's grid, the past couple years have seen the angel-voiced Bunyan duet with fan Devendra Banhart on Rejoicing in the Hands, gig with Stephen Malkmus, and collaborate with both Piano Magic and Animal Collective. And now, as if in response to those wondering what all the fuss might be about, the Dicristina Stair label has finally given Bunyan's lone solo album, Just Another Diamond Day, its first U.S. CD release. Produced in 1970 by the legendary Joe Boyd, Just Another Diamond Day has long been considered a holy grail for Brit-folk record collectors, with original copies of the album fetching over $1,000 at auction. It shouldn't take many listens to realize why it's so highly regarded; Just Another Diamond Day is, in its own humble way, nearly a thing of perfection. The album features contributions from such folk luminaries as The Incredible String Band's Robin Williamson, Fairport Convention's David Swarbrick and Simon Nicol, as well as string arrangements by Robert Kirby, who performed the same duties for Nick Drake. Boyd's production is impeccable, with the sound of each breath and string given an appropriate weight in the mix. This is crucial because of the almost impossible fragility of Bunyan's voice, an instrument as lovely and delicate as a dew-covered spider's web but one which could easily be drowned out by over-instrumentation. Considering the deftness of its acoustic, percussion-less songs, Just Another Diamond Day seems at times like a sonic sibling to the Boyd-produced Nick Drake albums-- albeit one that chooses fresh air and sunlight over Drake's depressive shadows. Although Bunyan wrote all of the songs herself, the lyrics have an organic, out-of-time poetry that makes them feel more like traditional works. Her songs reference neither the politics of the time nor the psychedelically refracted medievalism so prevalent in the folk-rock of the era-- the simple quatrains of hypnotic songs like ""Diamond Day"", ""Come Wind Come Rain"", or ""Where I Like to Stand"" instead consist of uncomplicated lyrics (""Just another field to plough/ Just a grain of wheat/ Just a sack of seed to sow/ And the children eat"") that could've been written virtually any time in the past few centuries. Some listeners find Bunyan's thematic emphasis on nature to be overly cloying and childlike-- especially on such bucolic tracks as ""Lilly Pond"" or ""Glow Worms"". But others find themselves captivated by the sincerity and purity of Bunyan's pastoral vision, particularly in the subtle way she's able to portray human activities corresponding perfectly with the rhythms of the natural world, as though the people she encounters are just another feature of the landscape. (""I'm counting the waves/ The men in the boats they wave/ To their wives and say/ I'm counting the hours in the day."") And the whimsical wordplay she weaves through songs like ""Timothy Grub"" or ""Jog Along Bess"" (""Jog along Bess/ Hop along May/ Squeak along Blue/ It's a walk along day"") makes it easy to trace the influence she's exerted on contemporary artists like Banhart or Animal Collective. But even with her reputation re-established and her influence deservedly spreading, it's unlikely that you'll encounter another album as charming or transporting as Just Another Diamond Day any time soon.","Produced by the legendary Joe Boyd (Nick Drake, Nico, Fairport Convention), Vashti Bunyan's lone solo album massively influenced San Francisco's new freak-folk movement, despite being long out of print. Now the Dicristina Stair label finally rescues this 1970 classic from record collector hell.
",9.0,
This Island,Le Tigre,by: Nick Sylvester,Contributor,https://media.pitchfork.com/photos/5929bcba5e6ef95969322ee7/1:1/w_160/1d3e88cc.jpg,2004-10-20 06:00:01,Electronic,https://www.pitchfork.com/reviews/albums/4706-this-island/,InterscopeStrummer,"There's a simile in Lucretius' De Rerum Natura where the poet compares his work to the sweet honey doctors would put on the rims of cups to make bitter medicine more palatable. Good political pop music exploits the same loophole, and it's one that Le Tigre have used since their 1999 self-titled debut. Le Tigre was a subtle affair: Its sense of humor, its hummable hooks, and its light genre-hopping never compromised the band's heavy politics-- it just made them more sufferable. As Le Tigre's major-label debut, the album had the potential to push the trio's political agenda into commercial radio country and ultimately turn a few unsuspecting heads. Which is maybe why This Island is so frustrating: The fuzzed-out opener ""On the Verge"", the Beastie Boys-parody-Le Tigre George W. Rant ""Seconds"", the Aqua Teen cartoon-punk of ""Don't Drink Poison"" and ""TKO"", the shockingly humorless ""After Dark"", and the Mr. Scruff lounge-by-numbers incongruity ""Sixteen""-- each is immediately forgettable. ""New Kicks"", Le Tigre's first commercial single, is a much sadder story. In the words of their publicist, the song is ""a dance anthem made up of samples of anti-war speeches by Susan Sarandon, Al Sharpton, and others, punctuated by a 'Peace Up, War Down!' chant""-- and it sounds worse than anyone could have ever imagined. No track could be less indicative of Le Tigre's sound: There's no hook, and not one of the band members even sings here. That Universal has made this Le Tigre's first impression to mainstream listeners is confounding. In contrast, the Ric Ocasek-produced ""Tell You Now"" is one of the band's best songs yet: catchy, poppy, utterly sophisticated (check that slick two-way monologue chorus), and steeped in Le Tigre's grrrlish sentiment. It's unusual territory for the band-- Kathleen Hanna checks her squeals at the door, her cool delivery contrasting with her livid lyrics. Judging from the track, Ocasek could have been the key to This Island's success, and it's a shame not only that they recorded just this one song with him, but that it wasn't even made the single. If This Island failed musically but still got Le Tigre's message out, it could be counted as a minor success. But at this critical juncture in their career, Le Tigre seem tame: They're neither over-the-top nor subtle-- they're merely playing it safe. ""Viz""-- short for ""visibility""-- predicts lesbianism's wider acceptance, but hardly goes farther than, ""They call it way too rowdy, I call it finally free""; the whimsical ""Nanny Nanny Boo Boo"" goes the Avenue D and Fannypack route (""If you ask us how we want it we'll say man-to-man/ When you go to kiss our cheeks we're gonna put out our hands"") but feels out of place on an otherwise overly deadpan release. Towards the end of This Island, Le Tigre attempt a potentially meaningful cover of The Pointer Sisters' top 10 hit ""I'm So Excited"". Like The Pointer Sisters, Le Tigre have the chance here to push the limits of female sexuality in pop, to play with sex and gender stereotypes, to do all the sorts of things good covers can do. Instead, they merely pay homage to the original and then, halfway through the song, adopt a reggae beat for no apparent reason. The cover ends up being merely a squandered opportunity, which sadly sums up This Island as well.","After two albums and a handful of singles' worth of hook-filled electro-punk and progressive politics, Kathleen Hanna's propulsive trio are rewarded with a major-label deal and a chance to take their message to the mainstream.
",3.3,
I Heart Huckabees,Jon Brion,by: David Moore,Contributor,https://media.pitchfork.com/photos/5929a46ac0084474cd0c04ac/1:1/w_160/5761db0f.jpg,2004-10-19 06:01:40,Rock,https://www.pitchfork.com/reviews/albums/1134-i-heart-huckabees/,Milan,"Jon Brion has emerged as the most successful of a new crop of film composers who have strayed from the independent music flock. Brion boasts a pop aesthetic honed by his songwriting with The Grays and Jellyfish, as well as his production work with Aimee Mann and Fiona Apple, and his buoyant soundscapes-- often bubbling with enveloping orchestral strokes and theatrical wall-of-sound presentation-- have, most notably, contributed to the maudlin grandeur of film directors P.T. Anderson and Michel Gondry. A soundtrack is unavoidably linked to the film it accompanies, and * I  Huckabees * -- a sprawling amalgam of shambolic character studies and psychobabble centered on a neurotic environmentalist's relationship with his ""existential detectives""-- is so frantic that most scenes don't lend themselves to further elaboration. This might explain why Brion's * Huckabees * score is more understated and unobtrusive than most of his work; his penchant for underscoring quiet intensity is at odds with the film's series of shouting matches. Brion unexpectedly falls back on his talents as a singer/songwriter, composing five new ""vocal pop rock"" songs that have little relation to the film itself, aside from the obligatory closing credits OST tie-in. Brion's pop songs may have comprised an interesting EP, but they feel arbitrary and scattered alongside the film's score. ""Revolving Door"" and ""Get What It's About"" are indebted to Elliott Smith and Aimee Mann's wry, self-deprecating ballads. The clear highlight is ""Knock Yourself"", a brief but enjoyable jangle-pop excursion accented with Brion's trademark orchestral flourishes. Brion admits that most of this material was amassed from pieces he composed years ago, pieces which seemed to ""click"" when added to corresponding scenes. However, much of the soundtrack's material is weaker than his later work, and several tracks feel like embryonic versions of future compositions. The film's main theme, ""Monday"", derives its power from the same template that forged * Punch-Drunk Love * 's woozy, lilting waltz. The piece is the score's strongest and most memorable instrumental. It gracefully bookends the film and the album despite intermittent missteps on both fronts, but it still feels strangely anonymous in the context of Brion's recent career peaks. For the most part, Brion manages to subdue his typically conspicuous arrangements to temper the film's frenzied momentum. Its bumbling detectives are paired with a breezy Mancini-esque theme that subtly emphasizes the * Pink Panther * slapstick of the detective subplot. Atmospheric pizzicato strings, liberally applied bell chimes, and angelic piano glissandos allow tracks like the ethereal ""Cubes"", molasses-thick ""JB's Blues"", and lounge-y ""True to Yourself"" to elevate the film's subjective hyperrealism without seeming overbearing. Brion has expressed dissatisfaction with most contemporary film soundtracks, and though his own work is a veritable antidote to the calculated emotion-extraction mechanisms of so many Hollywood film scores, * I  Huckabees * marks the first perceivable softening of Brion's characteristic audaciousness. Though he hasn't made any concessions to the trappings of a standard-issue Hollywood soundtrack-- and the one-two punch of * Punch-Drunk Love * and * Eternal Sunshine of the Spotless Mind * set a high mark to follow-- Brion's * Huckabees * compositions are too often diversionary and fall prey to stagnation, making this a frequently inspired but ultimately uneven retread.","Jon Brion has emerged as the most successful of a new crop of film composers who have strayed from the ...
",7.0,
Stéréotypie,DACM,by: Cameron Macdonald,,https://media.pitchfork.com/photos/5929a872c0084474cd0c0e1d/1:1/w_160/80279b2e.gif,2004-10-19 06:00:03,Electronic,https://www.pitchfork.com/reviews/albums/2127-stereotypie/,Asphodel,"Peter ""Pita"" Rehberg's post-techno experiment DACM returns, this time with pixelated siren and Mego veteran Tujiko Noriko onboard. Excerpt from Stéréotypie's press release: ""This ideal, as a conglomeration of homemade fantasies, seems to unveil the limitations and the obsolescence of making a fantasy of physical and mechanical perfection come true, and also uncovers all the excitement attached to this fantasy, by fulfilling obsessions about norms and evenness together with a certain imperfection."" Stéréotypie's concept about fantasies being mistranslated yet still rewarding the artist with an unexpected ""perfection"" is nothing avant-garde. It's the essence of art. Hell, one of the most poignant moments in Britney Spears' legacy was caught on her Live from Las Vegas concert DVD when, midway through the lass' performance, she's dragged away by men in black leaving the spotlight to Jon Voight and Britney's wide-eyed sis in a nightgown by his lap. 'Ol Joe Buck then recites to her a poem about handsome princes, princesses, virginal purity, and the chastity belt. And each syllable he utters is punctuated by a distorted hiss of 200+ decibel amplification. Poetry translated into white noise. DACM thankfully dwells on another planet. The first release from the project's noisenik mastermind, Peter ""Pita"" Rehberg, was 2002's Showroom Dummies-- a dance piece that mainly involved models both clothed and nude in mannequin poses. His music typically domesticates and sculpts cold, raw electricity. Rehberg's solo work on Showroom drenched a few ""mainstream"" conventions of timbre in sulfuric acid. His lawnmower drone treatment of a cliché trance-techno synth melody was priceless. In Stéréotypie, his partnership with post-techno chanteuse Tujiko Noriko adds a deeper dynamic and genuine humanity to the DACM sound. Stéréotypie is a beauty that threatens to evaporate at anytime. Hence, the ""perfect fantasy versus imperfect reality"" concept. DACM stages an order built on rotting stilts, as almost every moment is tinged with scrambled data and irregular pacing. The album's finest song, ""Vidya"", embodies that element-- tweaking and liquidating sunbursts of a warp-speed synth patch to create the sensation of falling up into the sky; an elating grace before disintegrating into the atmosphere. Similar tracks also find a balance between playfulness and delirium. ""LN Start"" erupts with a thick refrigerator-drone lightly showered by microtones. ""Marie"" and ""Outparis Kiss"" also take such microtones and mutate them into happy accidents. The 12-minute ""Birthday"" loops a Boards of Canada-caliber synth trance before vibraphones brilliantly saunter in. Beaming with such pluck for at least its first 10 seconds is ""Latex"", a solo piece for latex that is akin to Tom Zé's classic, balloon-on-tooth experiments. The album's weakest moment is ""Party"", a machine-groove with congested sinuses, looped into oblivion. Besides ""Vidya"", Stéréotypie's other admirably peculiar moments are when Noriko's fingerprints are felt. ""Angel"" is vintage Noriko, a ballad about sacrificing one's soul for love. She whispers with near-vampiric intimacy: ""I'll give you everything/ Even this memory.../ I dream to be what I'll never be."" She drives the track's sexual tension alongside oddball guitar twangs, fractured synths, and an eight-mile-high bass thump. ""Patty"" is also arresting: It features decapitated, Copacabana lounge-jazz that wanders in a circle as Noriko meows Japanese, suddenly uttering ""stereotype"" during a silence. The lyric is a nagging reminder of the album's title, and may imply that DACM's work here is ""stereotypical"" of so much post-techno and its habit of soiling the sweet.","Electronic noise artist Peter ""Pita"" Rehberg collaborates with experimental pop singer Noriko Tujiko on the latest release from his post-techno experiment DACM.
",7.8,
Apples and Synthesizers,Solvent,by: Derek Miller,,https://media.pitchfork.com/photos/5929a6875e6ef95969320d6c/1:1/w_160/a7cfbdca.jpg,2004-10-19 06:00:02,Electronic,https://www.pitchfork.com/reviews/albums/7782-apples-and-synthesizers/,,,,,
Left of the Dial: Dispatches from the 80s Underground,Various Artists,by: Chris Dahlen,,https://media.pitchfork.com/photos/5929a7d29d034d5c69bf38c0/1:1/w_160/25b3ed30.jpg,2004-10-19 06:00:01,,https://www.pitchfork.com/reviews/albums/1970-left-of-the-dial-dispatches-from-the-80s-underground/,Rhino,"Every night when my pregnant wife falls to sleep, I lean over and strap a pair of headphones to her swollen belly and queue up hours of music to pipe gently into the womb where my unborn child gestates. The program changes every night: The Beatles for lessons on love, Led Zeppelin for truth, Merzbow for fortitude. But every Sunday at the time when MTV used to broadcast 120 Minutes, I throw in the kind of music collected on Rhino's Left of the Dial, for just one reason: to turn my child into an insufferable hipster. The music on this set influenced most everything Pitchfork slobbers on today. The mandate of Left of the Dial-- to showcase anything that fit on college radio in the 80s-- means you'll find everything from punk and post-punk to synth-pop and dream-pop; it features early indie rock in all of its shades of amateurish enthusiasm and substance abuse. It covers most of the bands namechecked during the post-punk resurgence-- from Gang of Four to Throbbing Gristle to Joy Division-- and demonstrates how Bad Brains, Minor Threat, and The Minutemen expanded the punk world while The Replacements, R.E.M. and Beat Happening laid the groundwork for indie rock and Sonic Youth, Pixies, and Jane's Addiction did the same for 1990s grunge and alternative. But that's not all: We also get the moody atmospherics of The Church, Echo & The Bunnymen, and The Cure, and the synth-pop stylings of Japan, Depeche Mode, and Orchestral Manoeuvres in the Dark. Left of the Dial even has goth. And industrial. And, um, Faith No More. The set's compilers settled on 82 bands, and their selections are comprehensive and sometimes surprising. You don't get Devo, but they pick a Wall of Voodoo song-- and it's not ""Mexican Radio"". Hüsker Dü is better remembered today for their Bob Mould-penned tracks, but it's Grant Hart's ""Don't Want to Know If You Are Lonely"" that's included here. The box is not without dirges or drags-- I forgot that Bauhaus' ""Bela Lugosi's Dead"" was so damn long-- but the producers don't skimp on upbeat singles and jangly guitars. If Left of the Dial makes you nostalgic, it's more likely to evoke the weightlessness of youth than to cajole a lump in your throat. But you don't judge a compilation by its hits alone, and it doesn't take long to find the set's weakness: sequencing. Rhino may have the best licensing lawyers in the business, but the tracklist came straight from a committee. Left of the Dial sounds anonymously plotless, and the second disc is littered with awkward segues: Ultravox's ""Vienna"" chokes the momentum from The Pretenders' ""Message of Love"", and the murderous chorus on Sisters of Mercy's ""This Corrosion"" steamrollers poor old XTC. (And who ends a disc with ""Senses Working Overtime"", anyway?) What's worse, slogging through Ministry's ""Stigmata"" after The Smiths' effusive ""This Charming Man"" is like having your early morning sex shattered by a street cleaner roaring past your window. This kind of sequencing also destroys all sense of context. Normally, it's my job as a reviewer to lecture you about the history of The Dead Milkmen, or write a book report on The Jesus & Mary Chain, or at least explain how Bauhaus became Love and Rockets or Joy Division became New Order-- but there are too many stories crammed in here, and anyway, when ""Temptation"" comes on, all I think is, ""Wow, this is a really great song."" The set could also describe the competing narratives of polished synthesizer bands and passion-trumps-practice guitars-- but that makes no sense either, as the two sides often stay as distant as rival cliques at the high school reunion. Without a guiding principal, the dud tracks sound even weaker: You suspect there was only one person in the room arguing viciously to include Lone Justice's ""Ways to Be Wicked"", The Rain Parade's ""I Look Around"", or Faith No More's ""We Care a Lot"", and that everyone else just relented to shut him up. Although Left of the Dial's liner notes work as a cheat sheet, listening to the albums won't tell you anything about how these genres developed, interrelated, or collapsed; simply knowing the facts doesn't tell you why these songs matter. On the other hand, maybe that's the point. It reminds me of buying Rhino's Beg, Scream & Shout box several years ago and enjoying it without knowing anything about the 1960s R&B; singers whose work it collects. It all just seemed to come from some magical past time when great music poured sui generis out of the radio and everybody dug it. As for the struggles, influences, jagged careers, and sad ends that frame the music... maybe someday I'll read the liner notes. My kid might feel the same way about Left of the Dial and ignore my lectures and nostalgia and just enjoy the songs. And fuck it: If the music holds up, that will probably be for the best.","In the spirit of their decade-spanning soul music surveys, Beg, Scream & Shout and Can You Dig It?-- and following the ...
",8.3,
Futures,Jimmy Eat World,by: Marc Hogan,Senior Staff Writer,https://media.pitchfork.com/photos/5929a151ea9e61561daa4788/1:1/w_160/ab16d013.jpg,2004-10-19 06:00:00,Rock,https://www.pitchfork.com/reviews/albums/4262-futures/,Interscope,"Three years after their commercial breakthrough, Bleed American, Jimmy Eat World's fifth full-length represents what I hope is the final stage in emo's devolution. The songs have deep titles like ""Work"", ""Kill"", and ""Pain"". They're about girls, girls, and (possibly) painkillers. They range from ponderous ballads (""Drugs or Me"") to navel-gazing, midtempo tunes (the title track) to rockers that sound like watered-down versions of the band's earlier rockers (""Nothing Wrong"", ""Just Tonight""). I guess you could call ""Night Drive"", with its late-period Folk Implosion beats, an example of a band ""maturing."" But then singer/guitarist Jim Adkins opens his mouth: ""Do you feel bad like I feel bad?"" Lyrically, the rest of the album isn't much better. To a drug-addled lover, Adkins croons, ""Stay with me/ You're the one I need."" To an apathetic lover: ""Your votes can mean something."" To an easy lover: ""Lay back, baby, and we'll do this right."" To no one in particular: ""Baby, this is who I am/ Sorry, but I can't just go turn off how I feel."" If that's not bad enough, he even conjures the least-poetic expression of jealous ever: ""I'm sure your kiss remains employed."" Things haven't always been quite this bad from Jimmy Eat World. The best moments on earlier albums such as Static Prevails and Clarity weren't Shakespeare, but they communicated universes of longing to awkward kids. ""The Middle"" is also an obscenely catchy bit of pop, despite the greater indie community's cred-conscious dismissal of it. But there's none of that here. Futures is like a rotten onion, revealing layer upon layer of foulness. Musically, Jimmy Eat World have gone overboard with the trick they learned from U2: keep something somewhere jingling the same notes over and over again. Adkins' vocals are as whiny as ever, but here they sound canned as well. And then there's the would-be hipster nod to Heatmiser's ""Not Half Right"" on the swooning Smallville balladry of ""Kill"" (""like your favorite Heatmiser song said/ It's just like being alone""). Elliott Smith's only been dead for a year, guys-- a little respect, please. ""I'm in love with the ordinary,"" Adkins acknowledges on ""The World You Love"". That's not necessarily a bad thing; one of the year's finest album's, The Streets' A Grand Don't Come for Free, is kicked off by nothing more earth-shattering than a broken TV. Yet there's a difference between romanticizing the ordinary-- a bad cell phone connection, say, or that feeling on a first date that goes really, really well-- and being, well, ordinary. And it's hard to think of an album more mundane than Futures.","With song titles like ""Work"", ""Kill"", and ""Pain"", Jimmy Eat World may have finally dragged emo down as far as it can go.
",3.0,
